"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Chayce McDermott","BAL","SP,RP","17.0","17","1","0","4.88","1.51","9","16","10","3","9","2","1","0"
"Hayden Durke","ARI","RP","10.5","11","1","0","4.52","1.57","5","10","7","1","10","0","1","0"
"Victor Mederos","LAA","SP,RP","26.7","20","1","0","4.92","1.45","15","27","11","4","22","0","2","0"
"Brandon Walter","HOU","SP","7.5","7","0","0","3.82","1.12","3","7","2","1","2","1","0","0"
"Ben Peoples","CWS","RP","10.8","9","1","0","4.82","1.46","6","11","5","2","11","0","1","0"
"Ryan Lambert","NYM","RP","11.3","13","0","0","4.15","1.34","5","10","6","2","11","0","1","0"
"Jaden Woods","PIT","RP","18.6","15","1","0","4.74","1.50","10","19","9","2","19","0","1","0"
"Jairo Iriarte","CWS","RP","20.6","18","1","0","4.85","1.51","11","20","11","3","20","0","1","0"
"Anthony Misiewicz","CIN","RP","9.1","8","1","0","5.45","1.38","6","9","4","2","10","0","1","0"
"Triston McKenzie","SD","SP,RP","26.1","24","1","0","5.12","1.48","15","25","14","4","13","3","2","0"
"Connor Thomas","MIL","RP","9.4","7","1","0","4.79","1.49","5","11","4","2","4","1","1","0"
"Wilber Dotel","PIT","SP","27.4","21","1","0","5.03","1.46","15","29","11","4","14","3","2","0"
"Elvin Rodriguez","","RP","11.6","9","1","0","5.04","1.46","7","13","4","2","3","3","1","0"
"Sam Aldegheri","LAA","SP","43.6","33","2","0","5.24","1.51","25","45","21","7","16","6","3","0"
"Connor Seabold","TOR","RP","13.0","11","1","0","5.20","1.46","8","14","6","3","7","1","1","0"
"Matt Krook","ATH","RP","8.6","9","1","0","4.73","1.63","5","7","7","1","9","0","1","0"
"Travis Sykora","WSH","SP","16.5","17","1","0","4.91","1.58","9","16","11","2","16","1","1","0"
"Ben Kudrna","KC","SP","15.0","11","1","0","4.90","1.50","8","16","7","2","8","2","1","0"
"Nabil Crismatt","TEX","SP,RP","13.7","10","1","0","5.18","1.44","8","15","5","3","6","1","1","0"
"Tejay Antone","CIN","SP,RP","13.6","12","1","0","4.96","1.55","7","15","7","2","14","0","1","0"
"Anthony Veneziano","","RP","15.3","13","1","0","4.71","1.60","8","16","9","2","15","1","1","0"
"Sem Robberse","STL","SP","11.3","9","1","0","4.80","1.60","6","12","6","2","10","1","1","0"
"Carson Ragsdale","","SP,RP","13.4","12","1","0","5.04","1.57","8","13","8","3","5","1","1","0"
"Tyler Zuber","MIA","RP","12.1","12","1","0","5.21","1.57","7","12","7","2","10","0","1","0"
"Kyle Bischoff","MIN","P","6.7","6","1","0","5.39","1.57","4","7","4","1","7","0","1","0"
"Chen Zhong-Ao Zhuang","ATH","SP","9.6","8","0","0","4.57","1.26","5","10","2","2","9","0","1","0"
"Anthony Maldonado","HOU","RP","10.1","10","1","0","5.34","1.58","6","10","6","2","11","0","1","0"
"Dedniel Nunez","NYM","RP","5.2","5","0","0","3.52","1.30","2","4","2","1","5","0","0","0"
"Austin Cox","","RP","14.8","13","1","0","5.17","1.56","9","16","8","3","10","0","1","0"
"Jake Woodford","TB","SP,RP","19.2","15","1","0","5.17","1.51","11","21","9","3","11","1","1","0"
"Tyler Uberstine","BOS","SP","9.7","9","0","0","4.44","1.36","5","10","3","1","8","0","0","0"
"Reggie Crawford","SF","RP","7.6","8","0","0","4.28","1.39","4","7","4","1","8","0","0","0"
"Andry Lara","WSH","RP","25.3","19","1","0","5.05","1.52","14","27","11","4","18","0","1","0"
"Jack Kochanowicz","LAA","SP","31.9","20","1","0","4.94","1.50","17","35","13","4","19","3","2","0"
"Nigel Belgrave","MIA","RP","8.0","8","0","0","4.42","1.39","4","7","4","1","8","0","0","0"
"Randy Dobnak","","RP","12.0","9","0","0","4.42","1.41","6","12","5","1","9","0","1","0"
"Adam Macko","TOR","SP,RP","10.7","10","0","0","4.45","1.44","5","10","5","1","8","1","1","0"
"Collin Snider","CHC","RP","9.7","8","0","0","4.54","1.38","5","10","4","1","10","0","1","0"
"Blas Castano","SEA","SP,RP","11.1","8","0","0","4.48","1.39","6","11","4","1","10","0","0","0"
"Garrett Acton","COL","RP","14.7","14","0","0","4.86","1.42","8","14","7","2","15","0","1","0"
"Connor Noland","CHC","SP,RP","5.1","4","0","0","4.18","1.28","2","5","2","1","5","0","0","0"
"Omar Cruz","","RP","11.2","11","1","0","5.20","1.69","7","11","9","2","6","1","1","0"
"Nick Hernandez","ATH","RP","8.7","10","0","0","4.92","1.39","5","8","4","1","7","0","0","0"
"Noah Davis","PIT","RP","7.3","7","0","0","4.56","1.39","4","7","3","1","7","0","0","0"
"Tucker Davidson","PHI","RP","7.3","6","0","0","4.45","1.38","4","7","3","1","7","0","0","0"
"Dylan Coleman","NYY","RP","12.2","12","1","0","5.04","1.73","7","11","10","1","13","0","1","0"
"Dylan Ray","ARI","SP","7.3","6","0","0","4.51","1.37","4","7","3","1","7","0","0","0"
"Trenton Denholm","CLE","RP","7.3","5","0","0","4.61","1.31","4","8","2","1","7","0","0","0"
"Alimber Santa","HOU","RP","10.0","9","0","0","4.51","1.46","5","9","5","1","10","0","0","0"
"Ben Shields","COL","SP","9.4","8","0","0","4.68","1.40","5","10","4","1","9","0","1","0"
"Jose De Leon","BOS","SP,RP","27.7","26","1","1","5.20","1.61","16","28","17","5","6","6","2","0"
"Max Kranick","","RP","4.3","3","0","0","4.19","1.28","2","4","2","1","4","0","1","0"
"Jagger Haynes","SD","SP","15.4","12","1","0","5.32","1.58","9","16","9","2","3","3","1","0"
"Leandro Lopez","TEX","SP","7.5","6","0","0","4.57","1.40","4","7","4","1","2","2","1","0"
"Brian Fitzpatrick","MIL","P","7.6","7","0","0","4.47","1.47","4","8","4","1","8","0","1","0"
"Michael Mercado","PHI","RP","8.3","7","1","0","5.44","1.75","5","8","7","1","6","0","1","0"
"Jackson Jobe","DET","SP,RP","8.2","7","0","0","4.51","1.46","4","8","4","1","2","2","0","0"
"Jared Shuster","STL","SP,RP","11.8","9","1","0","5.34","1.65","7","14","6","2","7","1","1","0"
"Davis Daniel","CIN","SP","23.8","19","1","0","5.31","1.54","14","26","11","5","7","3","2","0"
"Corbin Martin","CHC","RP","7.9","7","0","0","4.60","1.46","4","8","4","1","8","0","0","0"
"Eduardo Salazar","","RP","18.6","15","1","0","5.07","1.64","11","20","11","3","17","0","1","0"
"Eric Reyzelman","NYY","RP","7.5","7","0","0","4.67","1.50","4","7","4","1","7","0","0","0"
"Pete Hansen","STL","SP","8.6","6","0","0","4.71","1.46","4","10","3","1","2","2","1","0"
"Owen White","","SP,RP","11.8","8","1","0","5.32","1.69","7","13","8","2","6","1","1","0"
"Sean Reynolds","","RP","18.1","17","1","0","5.22","1.68","11","16","15","2","13","0","1","0"
"Carson Palmquist","COL","SP,RP","36.6","33","1","0","5.35","1.54","22","37","19","6","18","4","2","0"
"Stevie Emanuels","ATH","RP","7.3","7","0","0","4.88","1.54","4","7","4","1","7","0","0","0"
"Nathan Wiles","","RP","6.9","6","0","0","5.21","1.45","4","8","3","2","6","1","1","0"
"Yoniel Curet","PHI","SP","10.5","10","0","0","4.99","1.53","6","10","6","1","5","2","1","0"
"Camden Minacci","LAA","RP","3.5","3","0","0","5.10","1.49","2","3","2","0","3","0","0","0"
"Tyler Davis","CWS","RP","4.9","4","0","0","4.94","1.51","3","5","2","1","4","0","0","0"
"Marquis Grissom","WSH","RP","12.2","9","0","0","5.08","1.45","7","12","5","2","12","0","1","0"
"Jean Cabrera","PHI","SP","11.8","8","0","0","5.12","1.44","7","12","5","2","2","2","1","0"
"Nick Frasso","LAD","SP,RP","10.7","8","1","0","5.49","1.78","7","11","8","2","11","1","1","0"
"Troy Watson","DET","SP","8.2","6","0","0","5.14","1.48","5","9","3","1","2","2","1","0"
"Carson Spiers","CIN","SP,RP","7.7","6","0","0","5.18","1.50","4","8","3","1","2","1","0","0"
"Luis Peralta","COL","RP","31.1","29","1","0","5.29","1.61","18","32","18","5","32","0","2","0"
"Sean Sullivan","PIT","SP","8.7","6","0","0","5.17","1.50","5","10","3","1","2","2","1","0"
"Tommy Henry","ARI","RP","7.5","7","0","0","5.42","1.54","5","8","4","2","2","2","1","0"
"Riley Cornelio","WSH","SP","29.7","21","1","0","5.38","1.54","18","32","14","5","11","4","2","0"
"Kevin Abel","CIN","P","9.1","7","0","0","5.35","1.52","5","9","5","2","9","0","1","0"
"Brett Wichrowski","MIL","SP","7.8","5","0","0","5.37","1.50","5","8","3","1","2","2","1","0"
"Casey Kelly","","RP","8.7","4","1","0","5.69","1.84","6","11","5","2","5","1","0","0"
"Logan VanWey","HOU","RP","9.1","9","1","0","5.96","1.93","6","9","9","2","8","0","1","0"
"Walbert Urena","LAA","SP","11.1","8","0","0","5.02","1.58","6","12","6","1","8","1","1","0"
"Bradley Blalock","MIA","SP","23.4","16","1","0","5.53","1.61","14","26","11","4","15","2","1","0"
"Zach Brzykcy","MIA","RP","15.0","15","0","0","5.42","1.67","9","15","10","2","16","0","1","0"
"Michael Arias","NYY","RP","11.0","11","1","0","6.15","2.05","8","11","12","2","11","0","1","0"
"Bryce Jarvis","ARI","RP","30.0","23","1","0","5.55","1.65","19","33","17","5","18","1","2","0"
"Anthony Molina","ATL","RP","21.6","15","1","0","5.83","1.71","14","27","11","4","12","1","1","0"
"Antonio Senzatela","COL","SP,RP","61.1","37","2","0","5.42","1.58","37","76","21","10","37","5","4","0"
""
""
