"Points","Roto","Change","Player","Pos.","Team","Age","Level","ETA"
"287","489","-213","Tyler O'Neill","RF","BAL","30","",""
"490","490","-103","Lourdes Gurriel Jr.","LF","AZ","32","",""
"249","491","0","Esmerlyn Valdez","OF","PIT","21","AA","2026"
"496","492","10","J.P. Crawford","SS","SEA","30","",""
"497","493","0","Andrew Fischer","3B","MIL","21","",""
"297","494","0","Ben Casparius","RP","LAD","26","",""
"279","495","0","Slade Cecconi","SP","CLE","26","",""
"299","496","-223","Zach Eflin","SP","FA","31","",""
"503","497","-97","Termarr Johnson","SS","PIT","21","",""
"295","498","0","Michael McGreevy","SP","STL","25","",""
"265","499","-38","Lucas Giolito","SP","FA","31","",""
"505","500","-44","Jacob Melton","LF","HOU","25","",""
"495","502","55","Zac Veen","LF","COL","24","",""
"498","508","-195","Deyvison De Los Santos","3B","MIA","22","",""
"499","510","-5","Noble Meyer","SP","MIA","20","",""

